year,source,total_pop,asian_pop,city,tract_geoid
2023,acs5,2518,1797,San Francisco,06075011300
2010,acs5,3516,116,Fresno,06019000300
2011,acs5,3641,159,Fresno,06019000300
2012,acs5,3721,120,Fresno,06019000300
2013,acs5,3506,214,Fresno,06019000300
2014,acs5,3640,236,Fresno,06019000300
2015,acs5,3238,185,Fresno,06019000300
2016,acs5,3270,203,Fresno,06019000300
2017,acs5,3716,179,Fresno,06019000300
2018,acs5,3936,131,Fresno,06019000300
2019,acs5,4225,104,Fresno,06019000300
2020,acs5,4927,95,Fresno,06019000300
2021,acs5,4276,48,Fresno,06019000300
2022,acs5,3906,117,Fresno,06019000300
2023,acs5,3941,270,Fresno,06019000300
2010,acs5,2346,1746,Los Angeles,06037207102
2011,acs5,2276,1760,Los Angeles,06037207102
2012,acs5,2268,1782,Los Angeles,06037207102
2013,acs5,2295,1925,Los Angeles,06037207102
2014,acs5,2350,1992,Los Angeles,06037207102
2015,acs5,2239,1791,Los Angeles,06037207102
2016,acs5,2366,1727,Los Angeles,06037207102
2017,acs5,2573,1792,Los Angeles,06037207102
2018,acs5,2866,1810,Los Angeles,06037207102
2019,acs5,2926,1695,Los Angeles,06037207102
2020,acs5,3181,1958,Los Angeles,06037207102
2021,acs5,3103,1770,Los Angeles,06037207102
2022,acs5,3198,1870,Los Angeles,06037207102
2023,acs5,3340,1782,Los Angeles,06037207102
